Season,Location,Object,Color,N_Detections,N_TotalInference,Probability,N_Detections_T_F
0,0,0,0,19.0,737.0,0.45,9
0,0,0,1,5,740.0,0.3,6
0,0,0,2,11,737.0,0.4,8
0,0,0,3,13,732.0,0.5,10
0,0,0,4,16.0,737.0,0.6,12
0,0,0,5,15,742.0,0.65,13
0,0,0,6,14,727.0,0.6,12
0,0,0,7,45,745.0,0.8,16
0,0,1,0,6,739.0,0.3,6
0,0,1,1,5,741.0,0.25,5
0,0,1,2,6,745.0,0.3,6
0,0,1,3,8,742.0,0.4,8
0,0,1,4,7,744.0,0.35,7
0,0,1,5,8,735.0,0.35,7
0,0,1,6,6,742.0,0.25,5
0,0,1,7,9,738.0,0.45,9
0,1,0,0,22,1358.0,0.4,8
0,1,0,1,26,1359.0,0.5,10
0,1,0,2,28,1360.0,0.5,10
0,1,0,3,26,1358.0,0.45,9
0,1,0,4,31,1358.0,0.6,12
0,1,0,5,38,1360.0,0.7,14
0,1,0,6,30,1359.0,0.5,10
0,1,0,7,27,1362.0,0.5,10
0,1,1,0,32,1357.0,0.55,11
0,1,1,1,26,1354.0,0.5,10
0,1,1,2,21,1362.0,0.5,10
0,1,1,3,31,1363.0,0.6,12
0,1,1,4,25,1360.0,0.5,10
0,1,1,5,36,1361.0,0.55,11
0,1,1,6,28,1363.0,0.45,9
0,1,1,7,28,1360.0,0.5,10
0,2,0,0,280,801.0,1.0,20
0,2,0,1,274,795.0,0.95,19
0,2,0,2,274,795.0,0.95,19
0,2,0,3,281,796.0,0.95,19
0,2,0,4,274,797.0,0.95,19
0,2,0,5,273,793.0,0.95,19
0,2,0,6,281,797.0,0.95,19
0,2,0,7,269,793.0,0.95,19
0,2,1,0,268,796.0,0.95,19
0,2,1,1,260,793.0,0.95,19
0,2,1,2,284,794.0,0.95,19
0,2,1,3,270,796.0,0.95,19
0,2,1,4,275,794.0,0.95,19
0,2,1,5,288,799.0,0.95,19
0,2,1,6,269,795.0,0.95,19
0,2,1,7,275,794.0,0.95,19
1,0,0,0,20,725.0,0.65,13
1,0,0,1,23,726.0,0.7,14
1,0,0,2,18,726.0,0.5,10
1,0,0,3,16,727.0,0.5,10
1,0,0,4,18,725.0,0.55,11
1,0,0,5,17,727.0,0.55,11
1,0,0,6,34.0,711.0,0.5,10
1,0,0,7,35,726.0,0.6,12
1,0,1,0,31,726.0,0.5,10
1,0,1,1,33,727.0,0.55,11
1,0,1,2,34,726.0,0.55,11
1,0,1,3,34,728.0,0.6,12
1,0,1,4,31,728.0,0.5,10
1,0,1,5,31,724.0,0.55,11
1,0,1,6,32,726.0,0.55,11
1,0,1,7,29,726.0,0.55,11
1,1,0,0,11,817.0,0.55,11
1,1,0,1,16,818.0,0.5,10
1,1,0,2,16,818.0,0.4,8
1,1,0,3,9,818.0,0.45,9
1,1,0,4,17,819.0,0.6,12
1,1,0,5,15,813.0,0.55,11
1,1,0,6,13,821.0,0.45,9
1,1,0,7,14.0,807.0,0.5,10
1,1,1,0,19,819.0,0.75,15
1,1,1,1,15,819.0,0.55,11
1,1,1,2,10,815.0,0.4,8
1,1,1,3,11,818.0,0.5,10
1,1,1,4,15,818.0,0.55,11
1,1,1,5,23,818.0,0.8,16
1,1,1,6,6,819.0,0.3,6
1,1,1,7,15,811.0,0.55,11
1,2,0,0,53,643.0,0.9,18
1,2,0,1,34,652.0,0.75,15
1,2,0,2,17,649.0,0.7,14
1,2,0,3,11,649.0,0.45,9
1,2,0,3,51.0,644.0,0.6,12
1,2,0,4,54,651.0,0.75,15
1,2,0,5,67,649.0,0.95,19
1,2,0,6,22,651.0,0.7,14
1,2,0,7,59,648.0,0.75,15
1,2,1,0,49,648.0,0.85,17
1,2,1,1,36,651.0,0.8,16
1,2,1,2,18,647.0,0.85,17
1,2,1,3,9,649.0,0.35,7
1,2,1,4,23,649.0,0.85,17
1,2,1,5,54,645.0,0.9,18
1,2,1,6,6,648.0,0.3,6
1,2,1,7,7,641.0,0.35,7
